mode,width,batch,dtype,device,warmup,iterations,repeats,seed,weight_values,bias_values,parameter_values_untrained,matmul_flops_approx,bias_additions,relu_comparisons,kernel_calls_per_evaluation,logical_tensor_storage_bytes,temporary_tensor_bytes,ideal_tensor_boundary_bytes,output_check,checked_outputs,total_outputs,max_abs_error,compile_seconds,median_seconds_per_evaluation,min_seconds_per_evaluation,max_seconds_per_evaluation,examples_per_second
separate,128,1,fp32,cpu,5,200,7,0,16384,128,16512,32768,128,128,3,68096,1024,69120,passed,64,128,1.389633680348723e-07,0.054134083,8.434374999999883e-06,7.469585000000056e-06,1.564666499999978e-05,118562.4305298275
fused,128,1,fp32,cpu,5,200,7,0,16384,128,16512,32768,128,128,1,67072,0,67072,passed,64,128,1.389633680348723e-07,0.07679883300000001,8.664164999999668e-06,6.864795000000034e-06,1.4332710000000137e-05,115417.93121437996
