mode,width,batch,dtype,device,warmup,iterations,repeats,seed,weight_values,bias_values,parameter_values_untrained,matmul_flops_approx,bias_additions,relu_comparisons,kernel_calls_per_evaluation,logical_tensor_storage_bytes,temporary_tensor_bytes,ideal_tensor_boundary_bytes,output_check,checked_outputs,total_outputs,max_abs_error,compile_seconds,median_seconds_per_evaluation,min_seconds_per_evaluation,max_seconds_per_evaluation,examples_per_second
separate,128,8,fp32,cpu,5,200,7,0,16384,128,16512,262144,1024,1024,3,82432,8192,90624,passed,64,1024,1.9557798314195907e-07,0.06226275,3.0546664999999696e-05,2.6969375000000516e-05,6.267500000000037e-05,261894.38356036835
fused,128,8,fp32,cpu,5,200,7,0,16384,128,16512,262144,1024,1024,1,74240,0,74240,passed,64,1024,1.9557798314195907e-07,0.07433575000000003,3.216229500000001e-05,2.7320209999999733e-05,4.872853999999982e-05,248738.4684457374
