mode,width,batch,dtype,device,warmup,iterations,repeats,seed,weight_values,bias_values,parameter_values_untrained,matmul_flops_approx,bias_additions,relu_comparisons,kernel_calls_per_evaluation,logical_tensor_storage_bytes,temporary_tensor_bytes,ideal_tensor_boundary_bytes,output_check,checked_outputs,total_outputs,max_abs_error,compile_seconds,median_seconds_per_evaluation,min_seconds_per_evaluation,max_seconds_per_evaluation,examples_per_second
separate,128,1,fp32,cpu,5,1000,10,0,16384,128,16512,32768,128,128,3,68096,1024,69120,passed,64,128,1.389633680348723e-07,0.054147125000000004,4.858354000000009e-06,4.126249999999998e-06,1.4522499999999994e-05,205831.02836886692
fused,128,1,fp32,cpu,5,1000,10,0,16384,128,16512,32768,128,128,1,67072,0,67072,passed,64,128,1.389633680348723e-07,0.07672212499999997,4.435146e-06,3.796540999999931e-06,8.894165999999926e-06,225471.72066037962
