mode,width,batch,dtype,device,warmup,iterations,repeats,seed,weight_values,bias_values,parameter_values_untrained,matmul_flops_approx,bias_additions,relu_comparisons,kernel_calls_per_evaluation,logical_tensor_storage_bytes,temporary_tensor_bytes,ideal_tensor_boundary_bytes,output_check,checked_outputs,total_outputs,max_abs_error,compile_seconds,median_seconds_per_evaluation,min_seconds_per_evaluation,max_seconds_per_evaluation,examples_per_second
separate,32,1,fp32,cpu,5,200,7,0,1024,32,1056,2048,32,32,3,4736,256,4992,passed,32,32,1.1161881974253163e-07,0.339803917,2.4377050000001786e-06,2.4287499999997576e-06,2.5650000000004837e-06,410221.90954193665
fused,32,1,fp32,cpu,5,200,7,0,1024,32,1056,2048,32,32,1,4480,0,4480,passed,32,32,1.1161881974253163e-07,0.06880529199999996,1.4960450000001124e-06,1.4343750000000988e-06,1.7552100000001182e-06,668429.0913708644
