mode,width,batch,dtype,device,warmup,iterations,repeats,seed,weight_values,bias_values,parameter_values_untrained,matmul_flops_approx,bias_additions,relu_comparisons,kernel_calls_per_evaluation,logical_tensor_storage_bytes,temporary_tensor_bytes,ideal_tensor_boundary_bytes,output_check,checked_outputs,total_outputs,max_abs_error,compile_seconds,median_seconds_per_evaluation,min_seconds_per_evaluation,max_seconds_per_evaluation,examples_per_second
separate,32,1,fp32,cpu,5,200,7,0,1024,32,1056,2048,32,32,3,4736,256,4992,passed,32,32,1.1161881974253163e-07,0.052828083,2.5229150000000146e-06,2.165835000000338e-06,2.5754150000001365e-06,396366.900985564
fused,32,1,fp32,cpu,5,200,7,0,1024,32,1056,2048,32,32,1,4480,0,4480,passed,32,32,1.1161881974253163e-07,0.07710287499999996,1.4191700000004692e-06,1.2170799999999814e-06,1.5083350000000273e-06,704637.2175283225
