experiment,device,precision,width,parameters,flops,bytes_moved,arithmetic_intensity,latency_mean_ms,latency_median_ms,latency_min_ms,latency_p95_ms,measured_gflops
width,mps,fp32,32,1024,2048,4352.0,0.47058823529411764,0.19780820000001587,0.19145850000001907,0.18700000000015926,0.2318329999999591,0.010353463607675696
width,mps,fp32,64,4096,8192,16896.0,0.48484848484848486,0.22068545000001327,0.21495849999997318,0.2020840000001023,0.24912499999985016,0.037120707323475596
width,mps,fp32,128,16384,32768,66560.0,0.49230769230769234,0.21032705000001428,0.2133125000000069,0.19033400000001421,0.2226249999999208,0.1557954623525494
width,mps,fp32,256,65536,131072,264192.0,0.49612403100775193,0.21842714999998902,0.20864600000003453,0.20549999999985857,0.2737079999999281,0.6000719232934486
width,mps,fp32,512,262144,524288,1052672.0,0.4980544747081712,0.26028945000001746,0.25862500000006783,0.22095899999996504,0.28775000000003104,2.014249905249578
width,mps,fp32,1024,1048576,2097152,4202496.0,0.49902534113060426,0.25614585000003354,0.2537915000000446,0.2425829999999074,0.26608399999994425,8.187335457512685
width,mps,fp32,2048,4194304,8388608,16793600.0,0.4995121951219512,0.4317292499999903,0.41475000000001927,0.4077080000000066,0.5141250000000319,19.43025171447195
