experiment,device,precision,width,simulated_quantization,execution_dtype,theoretical_weight_bytes,relative_l2_error,parameters,flops,bytes_moved,arithmetic_intensity,latency_mean_ms,latency_median_ms,latency_min_ms,latency_p95_ms
precision,mps,fp32,1024,False,fp32,4194304.0,0.0,1048576,2097152,4202496.0,0.49902534113060426,0.43652919999999096,0.3253334999999691,0.25520800000000676,0.6671249999998796
precision,mps,fp16,1024,False,fp16,2097152.0,0.0003528290253598243,1048576,2097152,2101248.0,0.9980506822612085,0.245270799999997,0.24608300000006356,0.23441600000007057,0.2515000000000711
precision,mps,int8,1024,True,fp32 after dequantization,1048576.0,0.01093494426459074,1048576,2097152,1050624.0,1.996101364522417,0.4520625000000056,0.3267710000001145,0.2723750000002134,0.7806659999998189
precision,mps,int4,1024,True,fp32 after dequantization,524288.0,0.20795980095863342,1048576,2097152,525312.0,3.992202729044834,0.28003329999999327,0.27327099999996385,0.2491660000001339,0.3095000000001846
