experiment,device,precision,context_tokens,heads,head_dimension,attention_flops,kv_bytes_read,latency_mean_ms,latency_median_ms,latency_min_ms,latency_p95_ms
context,mps,fp32,128,12,128,786432,1572864.0,0.4168292499999837,0.30745849999991304,0.24737500000004964,0.6164170000000357
context,mps,fp32,512,12,128,3145728,6291456.0,0.500270849999962,0.4344794999999735,0.25591599999996717,0.905291999999891
context,mps,fp32,1024,12,128,6291456,12582912.0,0.5186770500000271,0.386978999999954,0.3130410000000694,0.9608750000000832
context,mps,fp32,2048,12,128,12582912,25165824.0,0.9918063499999796,1.0373544999999762,0.5281670000001348,1.3874579999999526
