experiment,device,precision,shape,aspect_ratio,input_width,output_width,parameters,flops,bytes_moved,arithmetic_intensity,latency_mean_ms,latency_median_ms,latency_min_ms,latency_p95_ms,measured_gflops
shape,mps,fp32,256x4096,0.0625,4096,256,1048576,2097152,4211712.0,0.49793338195964015,0.39393755000001196,0.31797950000012065,0.2079580000000636,0.6321250000000944,5.323564610684958
shape,mps,fp32,512x2048,0.25,2048,512,1048576,2097152,4204544.0,0.4987822698490015,0.4238728499999733,0.2815414999999266,0.2621659999999526,0.6863329999999834,4.947596903175403
shape,mps,fp32,1024x1024,1.0,1024,1024,1048576,2097152,4202496.0,0.49902534113060426,0.30370635000005475,0.22343749999997886,0.21616700000004485,0.5431250000000887,6.905196417525093
shape,mps,fp32,2048x512,4.0,512,2048,1048576,2097152,4204544.0,0.4987822698490015,0.34043534999997904,0.2469585000000052,0.22833299999991397,0.7373749999999291,6.1602063357995265
shape,mps,fp32,4096x256,16.0,256,4096,1048576,2097152,4211712.0,0.49793338195964015,0.2657937499999874,0.23670799999997438,0.22687500000007077,0.3378329999998986,7.89014790603654
