experiment,device,precision,width,layers,parameters_if_unique,flops,bytes_moved,latency_mean_ms,latency_median_ms,latency_min_ms,latency_p95_ms
depth,mps,fp32,1024,1,1048576,2097152,4202496.0,0.4236083500000154,0.3346250000000328,0.2885840000002027,0.6017500000001785
depth,mps,fp32,1024,2,2097152,4194304,8404992.0,0.6526812499999979,0.5484164999999264,0.38599999999999746,0.8437079999998875
depth,mps,fp32,1024,4,4194304,8388608,16809984.0,0.5893145500000085,0.4407914999999818,0.38370800000020466,0.9882500000000238
depth,mps,fp32,1024,8,8388608,16777216,33619968.0,0.8462686499999927,0.6853329999999547,0.6302499999999434,1.2186250000001397
depth,mps,fp32,1024,16,16777216,33554432,67239936.0,1.1898917999999759,1.1686669999999566,1.0573339999999654,1.3287079999999563
depth,mps,fp32,1024,32,33554432,67108864,134479872.0,1.7308208000000214,1.6983744999999884,1.629708000000063,1.9575839999999012
