mode,width,batch,dtype,device,warmup,iterations,repeats,seed,weight_values,bias_values,parameter_values_untrained,matmul_flops_approx,bias_additions,relu_comparisons,kernel_calls_per_evaluation,logical_tensor_storage_bytes,temporary_tensor_bytes,ideal_tensor_boundary_bytes,output_check,checked_outputs,total_outputs,max_abs_error,compile_seconds,median_seconds_per_evaluation,min_seconds_per_evaluation,max_seconds_per_evaluation,examples_per_second
separate,512,1,fp32,cpu,5,200,7,0,262144,512,262656,524288,512,512,3,1058816,4096,1062912,passed,64,512,3.669037353937199e-07,0.051938625,8.782833500000031e-05,8.775291500000004e-05,0.00013984395999999953,11385.847175629555
fused,512,1,fp32,cpu,5,200,7,0,262144,512,262656,524288,512,512,1,1054720,0,1054720,passed,64,512,3.669037353937199e-07,0.05734329099999996,8.787041999999967e-05,8.763895999999994e-05,0.00010774854000000001,11380.393993792264
