mode,width,batch,dtype,device,warmup,iterations,repeats,seed,weight_values,bias_values,parameter_values_untrained,matmul_flops_approx,bias_additions,relu_comparisons,kernel_calls_per_evaluation,logical_tensor_storage_bytes,temporary_tensor_bytes,ideal_tensor_boundary_bytes,output_check,checked_outputs,total_outputs,max_abs_error,compile_seconds,median_seconds_per_evaluation,min_seconds_per_evaluation,max_seconds_per_evaluation,examples_per_second
separate,128,1,fp32,cpu,5,200,7,0,16384,128,16512,32768,128,128,3,68096,1024,69120,passed,64,128,1.389633680348723e-07,0.062100625,5.858954999999888e-06,5.626249999999833e-06,6.817289999999643e-06,170678.90093028863
fused,128,1,fp32,cpu,5,200,7,0,16384,128,16512,32768,128,128,1,67072,0,67072,passed,64,128,1.389633680348723e-07,0.07559004199999997,5.599999999999494e-06,5.213124999999819e-06,6.2856249999998506e-06,178571.4285714447
